"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test with lambda steps()","","Wed Nov 06 16:53:49 GMT 2024","passed","Wed Nov 06 16:53:49 GMT 2024","","com.example.junit5.StepTest","com.example.junit5.StepTest","test with lambda steps"
"","43","test with annotation steps()","","Wed Nov 06 16:53:49 GMT 2024","passed","Wed Nov 06 16:53:49 GMT 2024","","com.example.junit5.StepTest","com.example.junit5.StepTest","test with annotation steps"
